Circumstellar Disks http://www.circumstellardisks.org/,,,,,,,,,,,,,,,,,,,,,,,
Downloaded on Mar. 19 2020,,,,,,,,,,,,,,,,,,,,,,,
Database maintained by Karl Stapelfeldt. Last updated Mar. 13 2020,,,,,,,,,,,,,,,,,,,,,,,
Object,Category,Spec Type,R band (mag),Distance (pc),Disk Major Axis &quot;,Disk Diameter (AU),Inclination (degrees),Resolution elements across,At ref. wavelength (microns),Secondary Name,RA (J2000),DEC (J2000),Star-Forming Region,Class,Disk Minor Axis&quot;,Major axis PA,Spatial Resolution &quot;,Date Added,Date Updated,Fractional Infrared Luminosity,XRay Bright,Variable Star,Halpha equivalent width
HD 166,Debris,K0Ve,5.6,13.7,4.2,58,21,1,70,,00 06 36.78,+29 01 17.4,,,,106,4.125,7/13/2017,12/26/2019 18:52,0.000122,,,
HD 70313,Debris,A3V,5.63,51.4,5.8,298,76,1,100,,08 23 48.50,+53 13 11.0,,,,47,5.893,7/14/2017,12/26/2019 18:32,6.60E-05,,,
UX Tau A,TT,G5 V,,140,0.29,41,35,1,880,,04 30 03.99,+18 13 49.4,Taurus,,,176,0.3,1/1/2005,10/18/2018 7:37,,0,0,
HD 146181,Debris,F6,9.56,146,1.41,206,79,1.1,1240,HIP 79742,16 16 28.37,-38 44 12.4,Sco-Cen,,,53,1.34,7/29/2017,3/13/2020 15:08,0.0026,,,
HD 181296,Debris,A0V,5,48,0.5,24,90,1.1,18.3,eta Telescopii,19 22 51.21,-54 25 26.1,,,,8,0.47,1/1/2005,12/26/2019 18:03,,0,0,
HD 34282,HAe,A0.5,10.1,400,2.08,832,56,1.1,1300.39,,05 16 00.47,-09 48 35.3,,,,25,1.86,1/1/2005,7/17/2017 14:50,,0,0,
beta Leo,Debris,A3V,2,11.1,7.1,79,32,1.2,100,,11 49 03.58,+14 34 19.4,,,6.2,125,5.89,1/1/2005,4/15/2019 8:48,2.00E-05,0,0,
HD 172555,Debris,A5,4.93,29.2,0.54,16,47,1.2,18,,18 45 26.90,-64 52 16.5,,,,120,0.4641,7/29/2017,12/26/2019 18:53,0.00078,,,
HD 183324,Debris,A0IVp,5.87,59,5,295,2,1.2,70,c Aql,19 29 00.99,+01 57 01.6,,,,N/A,4.125,7/11/2017,3/9/2018 23:06,,,,
HD 38206,Debris,A0V,5.82,69.2,5,346,60,1.2,70,,05 43 21.67,-18 33 26.9,,,,85,4.125,7/13/2017,12/26/2019 18:35,0.00026,,,
LkHa 358,YSO,M5.5,18,140,2.14,299.6,28,1.2,1300,,04 31 36.13,+18 13 43.3,,,,119,1.8,1/1/2005,1/12/2016,,0,0,
